timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
31/29/2019 13:29:46.607,1872,MyHomePage,200,OK,Users 1-2,text,true,,234752,117,5,5,https://www.mynet.com/,692,0,521
31/29/2019 13:29:46.406,2097,MyHomePage,200,OK,Users 1-1,text,true,,234752,117,4,4,https://www.mynet.com/,850,0,669
31/29/2019 13:29:46.806,1943,MyHomePage,200,OK,Users 1-3,text,true,,234752,117,3,3,https://www.mynet.com/,724,0,549
31/29/2019 13:29:47.007,1928,MyHomePage,200,OK,Users 1-4,text,true,,234752,117,2,2,https://www.mynet.com/,715,0,537
31/29/2019 13:29:47.206,2048,MyHomePage,200,OK,Users 1-5,text,true,,234741,117,1,1,https://www.mynet.com/,725,0,548
